# BEGIN PLOT
DrawOnly=/afs/cern.ch/work/c/cpandini/leshouches/leshouches_bkgsub/rivet/WWbb/Rivet.yoda/WWbb/njets_nbjets_after_hh
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /afs/cern.ch/work/c/cpandini/leshouches/leshouches_bkgsub/rivet/WWbb/Rivet.yoda/WWbb/njets_nbjets_after_hh
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/afs/cern.ch/work/c/cpandini/leshouches/leshouches_bkgsub/rivet/WWbb/Rivet.yoda/WWbb/njets_nbjets_after_hh
Title=Rivet
XLabel=
YLabel=
ZLabel=
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	-5.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	5.000000e-01	5.000000e-01	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	5.000000e-01	1.500000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	5.000000e-01	2.500000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	5.000000e-01	3.500000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	5.000000e-01	4.500000e+00	5.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	5.000000e-01	5.500000e+00	6.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	5.000000e-01	6.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	5.000000e-01	7.500000e+00	8.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e-01	5.000000e-01	8.500000e+00	9.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	-5.000000e-01	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	5.000000e-01	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	1.500000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	2.500000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	3.500000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	4.500000e+00	5.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	5.500000e+00	6.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.500000e+00	6.500000e+00	7.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
